trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,price,time_in_force,expire_time_ns,filled_qty,liquidity_side,avg_px,slippage,commissions,status,is_post_only,is_reduce_only,is_quote_quantity,display_qty,emulation_trigger,trigger_instrument_id,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
TESTER-001,SRGridStrategy-000,BTC/USDT.SIM,SIM-1-001,BTC/USDT.SIM-SRGridStrategy-000,SIM-001,T-4125380f922b355b-1634,LIMIT,BUY,0.079575,28983.65,GTC,,0.079575,MAKER,28983.649999999998,0.0,['0.46000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,7a20a1f7-92c0-40da-9783-a3bef2e504df,2025-01-02 09:50:00+00:00,2025-01-02 09:55:00+00:00
TESTER-001,SRGridStrategy-000,BTC/USDT.SIM,SIM-1-010,BTC/USDT.SIM-SRGridStrategy-000,SIM-001,T-0a80b7fa31ea160b-1638,LIMIT,SELL,0.091286,29110.92,GTC,,0.091286,MAKER,29110.92,0.0,['0.53000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,2028f99c-2a7e-4c2c-a959-1a7cafa88114,2025-01-02 09:50:00+00:00,2025-01-02 10:00:00+00:00
TESTER-001,SRGridStrategy-000,BTC/USDT.SIM,SIM-1-011,BTC/USDT.SIM-SRGridStrategy-000,SIM-001,T-0a80b7fa31ea160b-1642,LIMIT,SELL,0.086896,29161.79,GTC,,0.086896,MAKER,29161.79,0.0,['0.51000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,b24debf4-cb2d-4626-9ee0-baf55b4d7921,2025-01-02 09:50:00+00:00,2025-01-02 10:00:00+00:00
TESTER-001,SRGridStrategy-000,BTC/USDT.SIM,SIM-1-012,BTC/USDT.SIM-SRGridStrategy-000,SIM-001,T-a169eb19177601fb-1650,LIMIT,SELL,0.078451,29228.46,GTC,,0.078451,MAKER,29228.46,0.0,['0.46000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,e6b9867c-e9b6-437f-9af4-39073fcd64f3,2025-01-02 09:50:00+00:00,2025-01-02 10:10:00+00:00
TESTER-001,SRGridStrategy-000,BTC/USDT.SIM,SIM-1-013,BTC/USDT.SIM-SRGridStrategy-000,SIM-001,T-4958faa40b2a3d84-1656,LIMIT,SELL,0.060125,29306.62,GTC,,0.060125,MAKER,29306.62,0.0,['0.35000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,8349f905-51e9-4513-ab21-89151360aba3,2025-01-02 09:50:00+00:00,2025-01-02 10:15:00+00:00
TESTER-001,SRGridStrategy-000,BTC/USDT.SIM,SIM-1-014,BTC/USDT.SIM-SRGridStrategy-000,SIM-001,T-131156287f32b1b9-1674,LIMIT,SELL,0.037296,29385.33,GTC,,0.037296,MAKER,29385.329999999998,0.0,['0.22000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,4947a84e-4088-4d5f-96a2-ff05fdb990ee,2025-01-02 09:50:00+00:00,2025-01-02 10:35:00+00:00
TESTER-001,SRGridStrategy-000,BTC/USDT.SIM,SIM-1-007,BTC/USDT.SIM-SRGridStrategy-000,SIM-001,T-304257db0d28406c-1769,LIMIT,BUY,0.077641,28966.37,GTC,,0.077641,MAKER,28966.37,0.0,['0.45000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,ddc38569-14de-4289-8932-101c0494c177,2025-01-02 09:50:00+00:00,2025-01-02 12:30:00+00:00
TESTER-001,SRGridStrategy-000,BTC/USDT.SIM,SIM-1-008,BTC/USDT.SIM-SRGridStrategy-000,SIM-001,T-30b64f32f9b40bdf-1629,LIMIT,BUY,0.090501,29064.45,GTC,,0.090501,TAKER,29017.9,-46.549999999995634,['1.58000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,82f44edf-df1b-4f05-a067-9522a578e82f,2025-01-02 09:50:00+00:00,2025-01-02 09:50:00+00:00
TESTER-001,SRGridStrategy-000,BTC/USDT.SIM,SIM-1-009,BTC/USDT.SIM-SRGridStrategy-000,SIM-001,T-4125380f922b355b-1632,LIMIT,SELL,0.086637,29025.21,GTC,,0.086637,MAKER,29025.21,0.0,['0.50000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,0a8255a9-d56f-4a61-9001-00a4ea1c4de3,2025-01-02 09:50:00+00:00,2025-01-02 09:55:00+00:00
TESTER-001,SRGridStrategy-000,BTC/USDT.SIM,SIM-1-020,BTC/USDT.SIM-SRGridStrategy-000,SIM-001,T-304257db0d28406c-1770,LIMIT,BUY,0.093695,28966.37,GTC,,0.093695,MAKER,28966.37,0.0,['0.54000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,32f3db68-0398-40d5-bbc6-212d4921f284,2025-01-02 09:55:00+00:00,2025-01-02 12:30:00+00:00
TESTER-001,SRGridStrategy-000,BTC/USDT.SIM,SIM-1-021,BTC/USDT.SIM-SRGridStrategy-000,SIM-001,T-0a80b7fa31ea160b-1639,LIMIT,SELL,0.135217,29110.92,GTC,,0.135217,MAKER,29110.92,0.0,['0.79000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,1e15fabe-9acf-49e9-b426-7c189c92005f,2025-01-02 09:55:00+00:00,2025-01-02 10:00:00+00:00
TESTER-001,SRGridStrategy-000,BTC/USDT.SIM,SIM-1-022,BTC/USDT.SIM-SRGridStrategy-000,SIM-001,T-0a80b7fa31ea160b-1643,LIMIT,SELL,0.128540,29161.79,GTC,,0.128540,MAKER,29161.79,0.0,['0.75000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,a0eadb59-fd12-44ba-8132-1beaa4343e6e,2025-01-02 09:55:00+00:00,2025-01-02 10:00:00+00:00
TESTER-001,SRGridStrategy-000,BTC/USDT.SIM,SIM-1-023,BTC/USDT.SIM-SRGridStrategy-000,SIM-001,T-a169eb19177601fb-1651,LIMIT,SELL,0.115732,29228.46,GTC,,0.115732,MAKER,29228.46,0.0,['0.68000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,c1677f12-17dc-49d5-a529-18364b0b6fbe,2025-01-02 09:55:00+00:00,2025-01-02 10:10:00+00:00
TESTER-001,SRGridStrategy-000,BTC/USDT.SIM,SIM-1-024,BTC/USDT.SIM-SRGridStrategy-000,SIM-001,T-4958faa40b2a3d84-1657,LIMIT,SELL,0.088592,29306.62,GTC,,0.088592,MAKER,29306.62,0.0,['0.52000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,e068b999-8eae-464e-921a-d6351fc62d2f,2025-01-02 09:55:00+00:00,2025-01-02 10:15:00+00:00
TESTER-001,SRGridStrategy-000,BTC/USDT.SIM,SIM-1-025,BTC/USDT.SIM-SRGridStrategy-000,SIM-001,T-131156287f32b1b9-1675,LIMIT,SELL,0.054976,29385.33,GTC,,0.054976,MAKER,29385.329999999998,0.0,['0.32000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,3320f7b0-7a40-4cfe-8ac1-09e3d1e9c4d7,2025-01-02 09:55:00+00:00,2025-01-02 10:35:00+00:00
TESTER-001,SRGridStrategy-000,BTC/USDT.SIM,SIM-1-031,BTC/USDT.SIM-SRGridStrategy-000,SIM-001,T-304257db0d28406c-1771,LIMIT,BUY,0.172614,28966.37,GTC,,0.172614,MAKER,28966.37,0.0,['1.00000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,844ec1d1-d06e-4ac7-83d4-59d7dd31c7e4,2025-01-02 10:00:00+00:00,2025-01-02 12:30:00+00:00
TESTER-001,SRGridStrategy-000,BTC/USDT.SIM,SIM-1-037,BTC/USDT.SIM-SRGridStrategy-000,SIM-001,T-304257db0d28406c-1772,LIMIT,BUY,0.172614,28966.37,GTC,,0.172614,MAKER,28966.37,0.0,['1.00000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,4738d8ec-fa1f-4123-869a-13ba19f3be26,2025-01-02 10:10:00+00:00,2025-01-02 12:30:00+00:00
TESTER-001,SRGridStrategy-000,BTC/USDT.SIM,SIM-1-043,BTC/USDT.SIM-SRGridStrategy-000,SIM-001,T-304257db0d28406c-1773,LIMIT,BUY,0.172614,28966.37,GTC,,0.172614,MAKER,28966.37,0.0,['1.00000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,5310922b-32a8-4297-941a-d9767a1d9c58,2025-01-02 10:15:00+00:00,2025-01-02 12:30:00+00:00
TESTER-001,SRGridStrategy-000,BTC/USDT.SIM,SIM-1-049,BTC/USDT.SIM-SRGridStrategy-000,SIM-001,T-304257db0d28406c-1774,LIMIT,BUY,0.172614,28966.37,GTC,,0.172614,MAKER,28966.37,0.0,['1.00000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,ab621260-7133-4e21-bb18-5052524b34d7,2025-01-02 10:35:00+00:00,2025-01-02 12:30:00+00:00
TESTER-001,SRGridStrategy-000,BTC/USDT.SIM,SIM-1-050,BTC/USDT.SIM-SRGridStrategy-000,SIM-001,T-a2c1aabcdbeaa624-2045,LIMIT,BUY,0.167597,29833.49,GTC,,0.167597,MAKER,29833.489999999998,0.0,['1.00000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,2662a9e6-3b11-407a-8ecc-c90798be5b14,2025-01-02 17:50:00+00:00,2025-01-02 18:00:00+00:00
TESTER-001,SRGridStrategy-000,BTC/USDT.SIM,SIM-1-051,BTC/USDT.SIM-SRGridStrategy-000,SIM-001,T-e4a0ba8bd9599c04-2070,LIMIT,BUY,0.161845,29762.79,GTC,,0.161845,MAKER,29762.79,0.0,['0.96000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,c8efd83e-cb30-4cd1-8ae0-f3e0486d7d5f,2025-01-02 17:50:00+00:00,2025-01-02 18:30:00+00:00
TESTER-001,SRGridStrategy-000,BTC/USDT.SIM,SIM-1-052,BTC/USDT.SIM-SRGridStrategy-000,SIM-001,T-8232737715997794-2098,LIMIT,BUY,0.126413,29698.32,GTC,,0.126413,MAKER,29698.32,0.0,['0.75000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,d2cc7397-4bcd-45a0-ac27-2bdbc09714ea,2025-01-02 17:50:00+00:00,2025-01-02 19:00:00+00:00
TESTER-001,SRGridStrategy-000,BTC/USDT.SIM,SIM-1-053,BTC/USDT.SIM-SRGridStrategy-000,SIM-001,T-1c9d9a8ba22b5b2d-2108,LIMIT,BUY,0.096730,29646.08,GTC,,0.096730,MAKER,29646.08,0.0,['0.57000000 USDT'],FILLED,False,False,False,,NO_TRIGGER,,NO_CONTINGENCY,,,,,,,,88aa5bcc-e453-4133-9960-5402aee0e152,2025-01-02 17:50:00+00:00,2025-01-02 19:10:00+00:00
