,"A (crash, hold 5)","B (rally, hold 5)",C (always long),A sens. hold 3,A sens. hold 10
2024-07-25,1.0,1.0,1.0,1.0,1.0
2024-07-26,1.0,1.0,1.0,1.0,1.0
2024-07-27,1.0,1.0,1.0,1.0,1.0
2024-07-28,1.0,1.0,1.0,1.0,1.0
2024-07-29,1.0,1.0,1.0,1.0,1.0
2024-07-30,1.0,1.0,1.0,1.0,1.0
2024-07-31,1.0,1.0,1.0,1.0,1.0
2024-08-01,1.0,1.0,1.0,1.0,1.0
2024-08-02,1.0,1.0,1.0,1.0,1.0
2024-08-03,1.0,1.0,1.0,1.0,1.0
2024-08-04,1.0,1.0,1.0,1.0,1.0
2024-08-05,1.0,1.0,1.0,1.0,1.0
2024-08-06,1.0,1.0,1.0,1.0,1.0
2024-08-07,1.0,1.0,1.0,1.0,1.0
2024-08-08,1.0,1.0,1.0,1.0,1.0
2024-08-09,1.0,1.0,1.0,1.0,1.0
2024-08-10,1.0,1.0,1.0,1.0,1.0
2024-08-11,1.0,1.0,1.0,1.0,1.0
2024-08-12,1.0,1.0,1.0,1.0,1.0
2024-08-13,1.0,1.0,1.0,1.0,1.0
2024-08-14,1.0,1.0,1.0,1.0,1.0
2024-08-15,1.0,1.0,1.0,1.0,1.0
2024-08-16,1.0,1.0,1.0,1.0,1.0
2024-08-17,1.0,1.0,1.0,1.0,1.0
2024-08-18,1.0,1.0,1.0,1.0,1.0
2024-08-19,1.0,1.0,1.0,1.0,1.0
2024-08-20,1.0,1.0,1.0,1.0,1.0
2024-08-21,1.0,1.0,1.0,1.0,1.0
2024-08-22,1.0,1.0,1.0,1.0,1.0
2024-08-23,1.0,1.0,1.0,1.0,1.0
2024-08-24,1.0,1.0,1.0,1.0,1.0
2024-08-25,1.0,1.0,1.0,1.0,1.0
2024-08-26,1.0,1.0,1.0,1.0,1.0
2024-08-27,1.0,1.0,1.0,1.0,1.0
2024-08-28,1.0,1.0,1.0,1.0,1.0
2024-08-29,1.0,1.0,1.0,1.0,1.0
2024-08-30,1.0,1.0,1.0,1.0,1.0
2024-08-31,1.0,1.0,1.0,1.0,1.0
2024-09-01,1.0,1.0,1.0,1.0,1.0
2024-09-02,1.0,1.0,1.0,1.0,1.0
2024-09-03,1.0,1.0,1.0,1.0,1.0
2024-09-04,1.0,1.0,1.0,1.0,1.0
2024-09-05,1.0,1.0,1.0,1.0,1.0
2024-09-06,1.0,1.0,1.0,1.0,1.0
2024-09-07,1.0,1.0,1.0,1.0,1.0
2024-09-08,1.0,1.0,1.0,1.0,1.0
2024-09-09,1.0,1.0,1.0,1.0,1.0
2024-09-10,1.0,1.0,1.0,1.0,1.0
2024-09-11,1.0,1.0,1.0,1.0,1.0
2024-09-12,1.0,1.0,1.0,1.0,1.0
2024-09-13,1.0,1.0,1.0,1.0,1.0
2024-09-14,1.0,1.0,1.0,1.0,1.0
2024-09-15,1.0,1.0,1.0,1.0,1.0
2024-09-16,1.0,1.0,1.0,1.0,1.0
2024-09-17,1.0,1.0,1.0,1.0,1.0
2024-09-18,1.0,1.0,1.0,1.0,1.0
2024-09-19,1.0,1.0,1.0,1.0,1.0
2024-09-20,1.0,1.0,1.0,1.0,1.0
2024-09-21,1.0,1.0,1.0,1.0,1.0
2024-09-22,1.0,1.0,1.0,1.0,1.0
2024-09-23,1.0,1.0,1.0,1.0,1.0
2024-09-24,1.0,1.0,1.0,1.0,1.0
2024-09-25,1.0,1.0,1.0,1.0,1.0
2024-09-26,1.0,1.0,1.0,1.0,1.0
2024-09-27,1.0,1.0,1.0,1.0,1.0
2024-09-28,1.0,1.0,1.0,1.0,1.0
2024-09-29,1.0,1.0,1.0,1.0,1.0
2024-09-30,1.0,1.0,1.0,1.0,1.0
2024-10-01,1.0,1.0,1.0,1.0,1.0
2024-10-02,1.0,1.0,1.0,1.0,1.0
2024-10-03,1.0,1.0,1.0,1.0,1.0
2024-10-04,1.0,1.0,1.0,1.0,1.0
2024-10-05,1.0,1.0,1.0,1.0,1.0
2024-10-06,1.0,1.0,1.0,1.0,1.0
2024-10-07,1.0,1.0,1.0,1.0,1.0
2024-10-08,1.0,1.0,1.0,1.0,1.0
2024-10-09,1.0,1.0,1.0,1.0,1.0
2024-10-10,1.0,1.0,1.0,1.0,1.0
2024-10-11,1.0,1.0,1.0,1.0,1.0
2024-10-12,1.0,1.0,1.0,1.0,1.0
2024-10-13,1.0,1.0,1.0,1.0,1.0
2024-10-14,1.0,1.0,1.0,1.0,1.0
2024-10-15,1.0,1.0,1.0,1.0,1.0
2024-10-16,1.0,1.0,1.0,1.0,1.0
2024-10-17,1.0,1.0,1.0,1.0,1.0
2024-10-18,1.0,1.0,1.0,1.0,1.0
2024-10-19,1.0,1.0,1.0,1.0,1.0
2024-10-20,1.0,1.0,1.0,1.0,1.0
2024-10-21,1.0,1.0,1.0,1.0,1.0
2024-10-22,1.0,1.0,1.0,1.0,1.0
2024-10-23,1.0,1.0,1.0,1.0,1.0
2024-10-24,1.0,1.0,1.0,1.0,1.0
2024-10-25,1.0,1.0,1.0,1.0,1.0
2024-10-26,1.0,1.0,1.0,1.0,1.0
2024-10-27,1.0,1.0,1.0,1.0,1.0
2024-10-28,1.0,1.0,1.0,1.0,1.0
2024-10-29,1.0,1.0,1.0,1.0,1.0
2024-10-30,1.0,1.0,1.0,1.0,1.0
2024-10-31,1.0,1.0,1.0,1.0,1.0
2024-11-01,1.0,1.0,1.0,1.0,1.0
2024-11-02,1.0,1.0,1.0,1.0,1.0
2024-11-03,1.0,1.0,1.0,1.0,1.0
2024-11-04,1.0,1.0,1.0,1.0,1.0
2024-11-05,1.0,1.0,1.0,1.0,1.0
2024-11-06,1.0,1.0,1.0,1.0,1.0
2024-11-07,1.0,1.0,1.0,1.0,1.0
2024-11-08,1.0,1.0,1.0,1.0,1.0
2024-11-09,1.0,1.0,1.0,1.0,1.0
2024-11-10,1.0,1.0,1.0,1.0,1.0
2024-11-11,1.0,1.0,1.0,1.0,1.0
2024-11-12,1.0,1.0,1.0,1.0,1.0
2024-11-13,1.0,1.0,1.0,1.0,1.0
2024-11-14,1.0,1.0,1.0,1.0,1.0
2024-11-15,1.0,1.0,1.0,1.0,1.0
2024-11-16,1.0,1.0,1.0,1.0,1.0
2024-11-17,1.0,1.0,1.0,1.0,1.0
2024-11-18,1.0,1.0,1.0,1.0,1.0
2024-11-19,1.0,1.0,1.0,1.0,1.0
2024-11-20,1.0,1.0,1.0034972336095653,1.0,1.0
2024-11-21,1.0,1.0,1.0712106097734937,1.0,1.0
2024-11-22,1.0,0.9971915959589945,1.0697259080597794,1.0,1.0
2024-11-23,1.0,1.003635838038459,1.0684356997891313,1.0,1.0
2024-11-24,1.0,1.00037577717163,1.061975957669156,1.0,1.0
2024-11-25,1.0,1.0057589385364791,1.0227878526309249,1.0,1.0
2024-11-26,1.0,0.9968332014248048,1.0040104554207128,1.0,1.0
2024-11-27,1.0,0.9968332014248048,1.0668186868397191,1.0,1.0
2024-11-28,1.0,0.9898894223709309,1.051174084000537,1.0,1.0
2024-11-29,1.0,0.9912068059913629,1.0667006780924728,1.0,1.0
2024-11-30,1.0,1.0013963531534358,1.0644870282064889,1.0,1.0
2024-12-01,1.0,1.00178355938313,1.065829171642469,1.0,1.0
2024-12-02,1.0,0.9958322964108736,1.0372191222814409,1.0,1.0
2024-12-03,1.0,0.9958322964108736,1.046065633756981,1.0,1.0
2024-12-04,1.0,0.9958322964108736,1.0695837164967992,1.0,1.0
2024-12-05,1.0,0.9958322964108736,1.0688505322896,1.0,1.0
2024-12-06,1.0,0.9958322964108736,1.0991671085388113,1.0,1.0
2024-12-07,1.0,0.9958322964108736,1.0998036703488878,1.0,1.0
2024-12-08,1.0,0.9958322964108736,1.1100234671673346,1.0,1.0
2024-12-09,1.0,0.9958322964108736,1.0235185615487,1.0,1.0
2024-12-10,1.0,0.9958322964108736,0.9983077803978913,1.0,1.0
2024-12-11,1.0,0.9958322964108736,1.0516579208298569,1.0,1.0
2024-12-12,1.0,0.9958322964108736,1.0457183824048046,1.0,1.0
2024-12-13,1.0,0.9958322964108736,1.0499136300583338,1.0,1.0
2024-12-14,1.0,0.9958322964108736,1.0336326347708975,1.0,1.0
2024-12-15,1.0,0.9958322964108736,1.0581163799454922,1.0,1.0
2024-12-16,1.0,0.9958322964108736,1.0495322863221483,1.0,1.0
2024-12-17,1.0,0.9958322964108736,1.0453271110860975,1.0,1.0
2024-12-18,1.0,0.9958322964108736,0.9686086797132857,1.0,1.0
2024-12-19,1.0,0.9958322964108736,0.9019215623954907,1.0,1.0
2024-12-20,1.0,0.9958322964108736,0.9092919271291267,1.0,1.0
2024-12-21,1.0,0.9958322964108736,0.8847885362134728,1.0,1.0
2024-12-22,1.0,0.9958322964108736,0.869207983466357,1.0,1.0
2024-12-23,1.0,0.9958322964108736,0.8973757566266678,1.0,1.0
2024-12-24,1.0,0.9958322964108736,0.9266714438031626,1.0,1.0
2024-12-25,1.0,0.9958322964108736,0.9265727822947799,1.0,1.0
2024-12-26,1.0,0.9958322964108736,0.8810237445138736,1.0,1.0
2024-12-27,1.0,0.9958322964108736,0.8708992897342783,1.0,1.0
2024-12-28,1.0,0.9958322964108736,0.8937647779759377,1.0,1.0
2024-12-29,1.0,0.9958322964108736,0.8643393162783959,1.0,1.0
2024-12-30,1.0,0.9958322964108736,0.859740915949239,1.0,1.0
2024-12-31,1.0,0.9958322964108736,0.8519842226185388,1.0,1.0
2025-01-01,1.0,0.9958322964108736,0.8759335838043469,1.0,1.0
2025-01-02,1.0,0.9958322964108736,0.9133134814175485,1.0,1.0
2025-01-03,1.0,0.9958322964108736,0.9678822891371988,1.0,1.0
2025-01-04,1.0,0.9958322964108736,0.9692947653575092,1.0,1.0
2025-01-05,1.0,0.9958322964108736,0.9544697416626043,1.0,1.0
2025-01-06,1.0,0.9958322964108736,0.9653914443117817,1.0,1.0
2025-01-07,1.0,0.9958322964108736,0.8840990966101173,1.0,1.0
2025-01-08,1.0,0.9958322964108736,0.8638980687252293,1.0,1.0
2025-01-09,1.0,0.9958322964108736,0.8202516498045083,1.0,1.0
2025-01-10,1.0,0.9958322964108736,0.8387677858629624,1.0,1.0
2025-01-11,1.0,0.9958322964108736,0.8469016800295625,1.0,1.0
2025-01-12,1.0,0.9958322964108736,0.8376007026813519,1.0,1.0
2025-01-13,1.0,0.9958322964108736,0.8247608998299569,1.0,1.0
2025-01-14,1.0,0.9958322964108736,0.850560478964861,1.0,1.0
2025-01-15,1.0,0.9958322964108736,0.9324713369067091,1.0,1.0
2025-01-16,1.0,1.0008519205047048,0.924856505010692,1.0,1.0
2025-01-17,1.0,1.00348081335865,0.9808170465947115,1.0,1.0
2025-01-18,1.0,1.0023179313878026,0.9766592925542352,1.0,1.0
2025-01-19,1.0,0.9798613359863366,0.9101432019754606,1.0,1.0
2025-01-20,1.0,0.9814624787447092,0.9209526558364931,1.0,1.0
2025-01-21,1.0,0.9871412995012085,0.9455224357689029,1.0,1.0
2025-01-22,1.0,0.9918399070339838,0.9245346270067584,1.0,1.0
2025-01-23,1.0,0.9888780770608123,0.9194397306132153,1.0,1.0
2025-01-24,1.0,0.9888780770608123,0.9176219463635098,1.0,1.0
2025-01-25,1.0,0.9888780770608123,0.9208861223834665,1.0,1.0
2025-01-26,1.0,0.9888780770608123,0.8858329037977722,1.0,1.0
2025-01-27,1.0,0.9888780770608123,0.8740284346648273,1.0,1.0
2025-01-28,1.0,0.9888780770608123,0.8431559013799323,1.0,1.0
2025-01-29,1.0,0.9888780770608123,0.8542691846080183,1.0,1.0
2025-01-30,1.0,0.9888780770608123,0.8957840827196765,1.0,1.0
2025-01-31,1.0,0.9888780770608123,0.8924093132832832,1.0,1.0
2025-02-01,1.0,0.9888780770608123,0.8270356641097544,1.0,1.0
2025-02-02,1.0,0.9888780770608123,0.7431033530165023,1.0,1.0
2025-02-03,1.0060966308861048,0.9888780770608123,0.7770328351762233,1.0060966308861048,1.0060966308861048
2025-02-04,0.9927875058729101,0.9888780770608123,0.7343511888166268,0.9927875058729101,0.9927875058729101
2025-02-05,0.9898083498164508,0.9888780770608123,0.7131101125082111,0.9897458683827273,0.9898083498164508
2025-02-06,0.9783069361564952,0.9888780770608123,0.6844023459456878,0.9897458683827273,0.9783069361564952
2025-02-07,0.9801126991106559,0.9888780770608123,0.6849060969216566,0.9897458683827273,0.9801764315437616
2025-02-08,0.9801126991106559,0.9888780770608123,0.6989770797731105,0.9897458683827273,0.9899931879767642
2025-02-09,0.9801126991106559,0.9888780770608123,0.7000950845623143,0.9897458683827273,0.9940444200619588
2025-02-10,0.9801126991106559,0.9888780770608123,0.7118129632632211,0.9897458683827273,0.9961554859217457
2025-02-11,0.9801126991106559,0.9888780770608123,0.700969907124512,0.9897458683827273,0.9959446277302072
2025-02-12,0.9801126991106559,0.9888780770608123,0.7222492990417879,0.9897458683827273,1.0019764711500554
2025-02-13,0.9801126991106559,0.9888780770608123,0.7159260305473144,0.9897458683827273,1.0019764711500554
2025-02-14,0.9801126991106559,0.9888780770608123,0.7338170430129103,0.9897458683827273,1.0019764711500554
2025-02-15,0.9801126991106559,0.9888780770608123,0.7231787607355423,0.9897458683827273,1.0019764711500554
2025-02-16,0.9801126991106559,0.9888780770608123,0.7127837909418986,0.9897458683827273,1.0019764711500554
2025-02-17,0.9801126991106559,0.9888780770608123,0.7093030289792186,0.9897458683827273,1.0019764711500554
2025-02-18,0.9801126991106559,0.9888780770608123,0.6852902245944572,0.9897458683827273,1.0019764711500554
2025-02-19,0.9801126991106559,0.9888780770608123,0.7003726534440332,0.9897458683827273,1.0019764711500554
2025-02-20,0.9801126991106559,0.9888780770608123,0.7109569965837435,0.9897458683827273,1.0019764711500554
2025-02-21,0.9801126991106559,0.9888780770608123,0.677452400826882,0.9897458683827273,1.0019764711500554
2025-02-22,0.9801126991106559,0.9888780770608123,0.6880731683034161,0.9897458683827273,1.0019764711500554
2025-02-23,0.9801126991106559,0.9888780770608123,0.68653139250095,0.9897458683827273,1.0019764711500554
2025-02-24,0.9801126991106559,0.9888780770608123,0.6022056053366929,0.9897458683827273,1.0019764711500554
2025-02-25,0.9774125965671344,0.9888780770608123,0.603407147100997,0.9870192275187889,0.9992161363224832
2025-02-26,0.9582679374709159,0.9888780770608123,0.5804973663721403,0.9676864025699115,0.979644409540445
2025-02-27,0.9598508522970626,0.9888780770608123,0.5810225102577677,0.9690975307394756,0.9812626350904993
2025-02-28,0.9580049847540334,0.9888780770608123,0.5742484413504679,0.9690975307394756,0.9793755910305121
2025-03-01,0.954663579429716,0.9888780770608123,0.5747869662360733,0.9690975307394756,0.976147074366327
2025-03-02,0.954663579429716,0.9888780770608123,0.6782917507461359,0.9690975307394756,1.0493758591008018
2025-03-03,0.954663579429716,0.8495747558757387,0.5654100871336479,0.9690975307394756,0.9680486938176672
2025-03-04,0.9847165333176354,0.8752736432859863,0.5829468380265496,0.9996048675979822,0.9987203413939669
2025-03-05,1.0190452475724536,0.9000375723475836,0.6027264302035136,1.0344526118029915,1.033537249671802
2025-03-06,1.0015644610046535,0.8898503089712166,0.5918541825741912,1.0162500076465244,1.0156148811482975
2025-03-07,0.9697016823572769,0.8582976877459869,0.5725099135401802,1.0162500076465244,0.999530390231832
2025-03-08,0.961195909221011,0.8582976877459869,0.5672327526152927,1.0162500076465244,0.9901413254635082
2025-03-09,0.961195909221011,0.8582976877459869,0.5149574773543323,1.0162500076465244,0.9348330371763843
2025-03-10,0.961195909221011,0.8582976877459869,0.4906688225107178,1.0162500076465244,0.9091171609957265
2025-03-11,0.961195909221011,0.8582976877459869,0.5180438844465126,1.0162500076465244,0.9477035439341607
2025-03-12,0.961195909221011,0.8582976877459869,0.5222982718092863,1.0162500076465244,0.9612214389260214
2025-03-13,0.961195909221011,0.8582976877459869,0.5058697517335503,1.0162500076465244,0.9477275644413915
2025-03-14,0.961195909221011,0.8582976877459869,0.5293136575678244,1.0162500076465244,0.9477275644413915
2025-03-15,0.961195909221011,0.8582976877459869,0.5361687274138676,1.0162500076465244,0.9477275644413915
2025-03-16,0.961195909221011,0.8582976877459869,0.5150950126368196,1.0162500076465244,0.9477275644413915
2025-03-17,0.961195909221011,0.8582976877459869,0.5305309322571875,1.0162500076465244,0.9477275644413915
2025-03-18,0.961195909221011,0.8582976877459869,0.5245925535140306,1.0162500076465244,0.9477275644413915
2025-03-19,0.961195909221011,0.8582976877459869,0.5600117120692704,1.0162500076465244,0.9477275644413915
2025-03-20,0.961195909221011,0.8582976877459869,0.5360423519490376,1.0162500076465244,0.9477275644413915
2025-03-21,0.961195909221011,0.8582976877459869,0.532072711605713,1.0162500076465244,0.9477275644413915
2025-03-22,0.961195909221011,0.8582976877459869,0.5414443710522192,1.0162500076465244,0.9477275644413915
2025-03-23,0.961195909221011,0.8582976877459869,0.5554399709702129,1.0162500076465244,0.9477275644413915
2025-03-24,0.961195909221011,0.8582976877459869,0.5724316951136124,1.0162500076465244,0.9477275644413915
2025-03-25,0.961195909221011,0.8582976877459869,0.573395032116644,1.0162500076465244,0.9477275644413915
2025-03-26,0.961195909221011,0.8582976877459869,0.5686101170498348,1.0162500076465244,0.9477275644413915
2025-03-27,0.961195909221011,0.8582976877459869,0.5746043519405104,1.0162500076465244,0.9477275644413915
2025-03-28,0.961195909221011,0.8582976877459869,0.5379321275638922,1.0162500076465244,0.9477275644413915
2025-03-29,0.961195909221011,0.8582976877459869,0.5174537177817607,1.0162500076465244,0.9477275644413915
2025-03-30,0.961195909221011,0.8582976877459869,0.5095991991427624,1.0162500076465244,0.9477275644413915
2025-03-31,0.961195909221011,0.8582976877459869,0.5118332146687169,1.0162500076465244,0.9477275644413915
2025-04-01,0.961195909221011,0.8582976877459869,0.53152399658279,1.0162500076465244,0.9477275644413915
2025-04-02,0.961195909221011,0.8582976877459869,0.49600009121445543,1.0162500076465244,0.9477275644413915
2025-04-03,0.961195909221011,0.8582976877459869,0.5023753229066957,1.0162500076465244,0.9477275644413915
2025-04-04,0.961195909221011,0.8582976877459869,0.510115523209424,1.0162500076465244,0.9477275644413915
2025-04-05,0.961195909221011,0.8582976877459869,0.5064589069845157,1.0162500076465244,0.9477275644413915
2025-04-06,0.961195909221011,0.8582976877459869,0.44585223976053956,1.0162500076465244,0.9477275644413915
2025-04-07,0.9618582964159766,0.8582976877459869,0.4521625213241822,1.0169503341725648,0.9483806702203277
2025-04-08,0.9478189928660036,0.8582976877459869,0.43441600997289836,1.0021069061022405,0.9345380863805228
2025-04-09,0.9851682888286967,0.8582976877459869,0.4905394071691095,1.0414488331093315,0.9713640413775753
2025-04-10,0.9616862039522966,0.8428998265666905,0.47129615529751684,1.0414488331093315,0.9482109891283698
2025-04-11,0.9703405498643802,0.852146741741137,0.49399199483586015,1.0457218253653136,0.9568698790779211
2025-04-12,0.9703405498643802,0.8610126444606424,0.5211506977217399,1.0531445173724503,0.9752552688115332
2025-04-13,0.9703405498643802,0.8552245594798108,0.503770606957489,1.048813138794332,0.9628416979926135
2025-04-14,0.9703405498643802,0.8582990869297688,0.5020443596908674,1.048813138794332,0.9636647118528175
2025-04-15,0.9703405498643802,0.8582990869297688,0.49166669853525685,1.048813138794332,0.9573296165272815
2025-04-16,0.9703405498643802,0.8582990869297688,0.49979476938545214,1.048813138794332,0.955977435326034
2025-04-17,0.9703405498643802,0.8582990869297688,0.5016324367362438,1.048813138794332,0.955977435326034
2025-04-18,0.9703405498643802,0.8582990869297688,0.5002586223008719,1.048813138794332,0.955977435326034
2025-04-19,0.9703405498643802,0.8582990869297688,0.5091046071373396,1.048813138794332,0.955977435326034
2025-04-20,0.9703405498643802,0.8582990869297688,0.5033486332116033,1.048813138794332,0.955977435326034
2025-04-21,0.9703405498643802,0.8582990869297688,0.5055886953439154,1.048813138794332,0.955977435326034
2025-04-22,0.9703405498643802,0.8582990869297688,0.5576535733904572,1.048813138794332,0.955977435326034
2025-04-23,0.9703405498643802,0.8548329031893741,0.5617156490572276,1.048813138794332,0.955977435326034
2025-04-24,0.9703405498643802,0.8580302664285278,0.5654819150412598,1.048813138794332,0.955977435326034
2025-04-25,0.9703405498643802,0.8582161948677153,0.5627704842648206,1.048813138794332,0.955977435326034
2025-04-26,0.9703405498643802,0.8594538296877465,0.5657550354610466,1.048813138794332,0.955977435326034
2025-04-27,0.9703405498643802,0.8546098787808806,0.5588279965472114,1.048813138794332,0.955977435326034
2025-04-28,0.9703405498643802,0.8546098787808806,0.5600554656794671,1.048813138794332,0.955977435326034
2025-04-29,0.9703405498643802,0.8546098787808806,0.5537697958928475,1.048813138794332,0.955977435326034
2025-04-30,0.9703405498643802,0.8546098787808806,0.5587690524359559,1.048813138794332,0.955977435326034
2025-05-01,0.9703405498643802,0.8546098787808806,0.5721357739232518,1.048813138794332,0.955977435326034
2025-05-02,0.9703405498643802,0.8546098787808806,0.5745390263289119,1.048813138794332,0.955977435326034
2025-05-03,0.9703405498643802,0.8546098787808806,0.5666361231588277,1.048813138794332,0.955977435326034
2025-05-04,0.9703405498643802,0.8546098787808806,0.5539428071742437,1.048813138794332,0.955977435326034
2025-05-05,0.9703405498643802,0.8546098787808806,0.5575863300212947,1.048813138794332,0.955977435326034
2025-05-06,0.9703405498643802,0.8546098787808806,0.5593394055830102,1.048813138794332,0.955977435326034
2025-05-07,0.9703405498643802,0.8546098787808806,0.5540154217996563,1.048813138794332,0.955977435326034
2025-05-08,0.9703405498643802,0.8546098787808806,0.6326992359671498,1.048813138794332,0.955977435326034
2025-05-09,0.9703405498643802,0.8693026441112113,0.6483817441604698,1.048813138794332,0.955977435326034
2025-05-10,0.9703405498643802,0.9197629204625158,0.7016741675598721,1.048813138794332,0.955977435326034
2025-05-11,0.9703405498643802,0.9017836802013616,0.6750764666565583,1.048813138794332,0.955977435326034
2025-05-12,0.9703405498643802,0.9009290441258265,0.6768003016176507,1.048813138794332,0.955977435326034
2025-05-13,0.9703405498643802,0.9239228082752539,0.7026167046636098,1.048813138794332,0.955977435326034
2025-05-14,0.9703405498643802,0.9239228082752539,0.6827434516141533,1.048813138794332,0.955977435326034
2025-05-15,0.9703405498643802,0.9239228082752539,0.6573930066931243,1.048813138794332,0.955977435326034
2025-05-16,0.9703405498643802,0.9239228082752539,0.6585669530058251,1.048813138794332,0.955977435326034
2025-05-17,0.9703405498643802,0.9239228082752539,0.6444564248585049,1.048813138794332,0.955977435326034
2025-05-18,0.9703405498643802,0.9239228082752539,0.6699012077471195,1.048813138794332,0.955977435326034
2025-05-19,0.9703405498643802,0.9239228082752539,0.6632328281555414,1.048813138794332,0.955977435326034
2025-05-20,0.9703405498643802,0.9239228082752539,0.6738881466497066,1.048813138794332,0.955977435326034
2025-05-21,0.9703405498643802,0.9239228082752539,0.6858903297198274,1.048813138794332,0.955977435326034
2025-05-22,0.9703405498643802,0.9239228082752539,0.7152033164718542,1.048813138794332,0.955977435326034
2025-05-23,0.9703405498643802,0.9239228082752539,0.6818937927205445,1.048813138794332,0.955977435326034
2025-05-24,0.9703405498643802,0.9239228082752539,0.6845745200533045,1.048813138794332,0.955977435326034
2025-05-25,0.9703405498643802,0.9239228082752539,0.6881365478032487,1.048813138794332,0.955977435326034
2025-05-26,0.9703405498643802,0.9239228082752539,0.6861975723342114,1.048813138794332,0.955977435326034
2025-05-27,0.9703405498643802,0.9239228082752539,0.6918518877536686,1.048813138794332,0.955977435326034
2025-05-28,0.9703405498643802,0.9239228082752539,0.6823101629931548,1.048813138794332,0.955977435326034
2025-05-29,0.9703405498643802,0.9239228082752539,0.6623982844831263,1.048813138794332,0.955977435326034
2025-05-30,0.9703405498643802,0.9239228082752539,0.6272642863680744,1.048813138794332,0.955977435326034
2025-05-31,0.9703405498643802,0.9239228082752539,0.6269938996168856,1.048813138794332,0.955977435326034
2025-06-01,0.9703405498643802,0.9239228082752539,0.6311322880780527,1.048813138794332,0.955977435326034
2025-06-02,0.9703405498643802,0.9239228082752539,0.6397304574745782,1.048813138794332,0.955977435326034
2025-06-03,0.9703405498643802,0.9239228082752539,0.640555013110854,1.048813138794332,0.955977435326034
2025-06-04,0.9703405498643802,0.9239228082752539,0.6275777518843514,1.048813138794332,0.955977435326034
2025-06-05,0.9703405498643802,0.9239228082752539,0.5885387561502267,1.048813138794332,0.955977435326034
2025-06-06,0.9703405498643802,0.9239228082752539,0.6060817604622807,1.048813138794332,0.955977435326034
2025-06-07,0.9703405498643802,0.9239228082752539,0.6206706962289916,1.048813138794332,0.955977435326034
2025-06-08,0.9703405498643802,0.9239228082752539,0.6209557692561515,1.048813138794332,0.955977435326034
2025-06-09,0.9703405498643802,0.9239228082752539,0.6602011746827032,1.048813138794332,0.955977435326034
2025-06-10,0.9703405498643802,0.9239228082752539,0.6820357746317319,1.048813138794332,0.955977435326034
2025-06-11,0.9703405498643802,0.9239228082752539,0.6614530852591314,1.048813138794332,0.955977435326034
2025-06-12,0.9703405498643802,0.9239228082752539,0.6293196091422089,1.048813138794332,0.955977435326034
2025-06-13,0.9703405498643802,0.9239228082752539,0.6212378379668295,1.048813138794332,0.955977435326034
2025-06-14,0.9703405498643802,0.9239228082752539,0.6060833389991324,1.048813138794332,0.955977435326034
2025-06-15,0.9703405498643802,0.9239228082752539,0.6112708592905397,1.048813138794332,0.955977435326034
2025-06-16,0.9703405498643802,0.9239228082752539,0.613161137410305,1.048813138794332,0.955977435326034
2025-06-17,0.9703405498643802,0.9239228082752539,0.5967020886084484,1.048813138794332,0.955977435326034
2025-06-18,0.9703405498643802,0.9239228082752539,0.5974967630753654,1.048813138794332,0.955977435326034
2025-06-19,0.9703405498643802,0.9239228082752539,0.5948663715213677,1.048813138794332,0.955977435326034
2025-06-20,0.9703405498643802,0.9239228082752539,0.5730708854865879,1.048813138794332,0.955977435326034
2025-06-21,0.9703405498643802,0.9239228082752539,0.5529356843039388,1.048813138794332,0.955977435326034
2025-06-22,0.9703405498643802,0.9239228082752539,0.5389106679170398,1.048813138794332,0.955977435326034
2025-06-23,0.9703405498643802,0.9239228082752539,0.5832799664442746,1.048813138794332,0.955977435326034
2025-06-24,0.9703405498643802,0.9239228082752539,0.5884442087173857,1.048813138794332,0.955977435326034
2025-06-25,0.9703405498643802,0.9239228082752539,0.5762202362295901,1.048813138794332,0.955977435326034
2025-06-26,0.9703405498643802,0.9239228082752539,0.5627468452301927,1.048813138794332,0.955977435326034
2025-06-27,0.9703405498643802,0.9239228082752539,0.5703117228292703,1.048813138794332,0.955977435326034
2025-06-28,0.9703405498643802,0.9239228082752539,0.5795428583227682,1.048813138794332,0.955977435326034
2025-06-29,0.9703405498643802,0.9239228082752539,0.5957203502742254,1.048813138794332,0.955977435326034
2025-06-30,0.9703405498643802,0.9239228082752539,0.5907056901671666,1.048813138794332,0.955977435326034
2025-07-01,0.9703405498643802,0.9239228082752539,0.5675682989874704,1.048813138794332,0.955977435326034
2025-07-02,0.9703405498643802,0.9239228082752539,0.5953756627961229,1.048813138794332,0.955977435326034
2025-07-03,0.9703405498643802,0.9239228082752539,0.6005222010273581,1.048813138794332,0.955977435326034
2025-07-04,0.9703405498643802,0.9239228082752539,0.5790052866254146,1.048813138794332,0.955977435326034
2025-07-05,0.9703405498643802,0.9239228082752539,0.5806721873244375,1.048813138794332,0.955977435326034
2025-07-06,0.9703405498643802,0.9239228082752539,0.5956662669031956,1.048813138794332,0.955977435326034
2025-07-07,0.9703405498643802,0.9239228082752539,0.5903561561299892,1.048813138794332,0.955977435326034
2025-07-08,0.9703405498643802,0.9239228082752539,0.6008538097452343,1.048813138794332,0.955977435326034
2025-07-09,0.9703405498643802,0.9239228082752539,0.6280247820854991,1.048813138794332,0.955977435326034
2025-07-10,0.9703405498643802,0.9239228082752539,0.6633340227000891,1.048813138794332,0.955977435326034
